"","lacgene","corgene","cor","pvalue"
"222","DHH","FMO2",0.502824459122229,4.41580324741143e-30
"223","DHH","SORBS1",0.559161020766883,3.28480810444211e-38
"224","DHH","CRTAC1",0.608233164290371,1.12803777328748e-46
"225","DHH","SLC5A4",0.513788923347842,1.51387654760075e-31
"226","DHH","EFS",0.568968848148096,8.65691250693839e-40
"227","DHH","MYL9",0.613500891766558,1.13310658309677e-47
"228","DHH","CHRDL1",0.663282185076845,4.07237880260921e-58
"229","DHH","KLF8",0.584555556196052,2.07066729573848e-42
"230","DHH","MLNR",0.513097381760467,1.87958603945135e-31
"231","DHH","SFRP1",0.642349233919247,1.73017694557549e-53
"232","DHH","STMN2",0.606156737451967,2.75816797223928e-46
"233","DHH","PTN",0.511402497241873,3.18763166764287e-31
"234","DHH","SFRP4",0.594083973027862,4.39228767713704e-44
"235","DHH","SORCS1",0.57687789566586,4.21546673906529e-41
"236","DHH","ASPA",0.561108085189877,1.61135548015943e-38
"237","DHH","SGCA",0.606742420610446,2.14479682199616e-46
"238","DHH","CRYAB",0.546612916698531,2.89618432913483e-36
"239","DHH","ZBTB16",0.577378382220483,3.47203730730848e-41
"240","DHH","KCNA1",0.52599881149717,3.05453020829233e-33
"241","DHH","SMOC2",0.600586544270287,2.93944477319793e-45
"242","DHH","GHR",0.650752886256503,2.65475144237629e-55
"243","DHH","BCHE",0.567361068532762,1.58437649594701e-39
"244","DHH","ARHGEF26",0.512145002010623,2.53003774070213e-31
"245","DHH","PLCD4",0.555449784304428,1.2602858118336e-37
"246","DHH","ANGPTL1",0.669675703562479,1.32032419103235e-59
"247","DHH","ELOVL4",0.561654019439705,1.31854340775975e-38
"248","DHH","CASQ2",0.639526935128815,6.83372074215178e-53
"249","DHH","LDB3",0.630366441931029,5.35308865089169e-51
"250","DHH","NECAB1",0.582532809958499,4.61617672196945e-42
"251","DHH","PLP1",0.589490354130791,2.86004247334942e-43
"252","DHH","COL21A1",0.578208003829875,2.51530252047303e-41
"253","DHH","HSPA2",0.533961670228143,2.19675552781489e-34
"254","DHH","TMEM35A",0.603742181387341,7.73691883530039e-46
"255","DHH","FGL2",0.53586737917318,1.15787903360543e-34
"256","DHH","KCNA5",0.649225041838621,5.72940255697071e-55
"257","DHH","CNN1",0.595506067566476,2.44417019544986e-44
"258","DHH","BARX1",0.569668921870395,6.64681646934458e-40
"259","DHH","MYH11",0.615364586586765,4.97326143030439e-48
"260","DHH","LYVE1",0.519368096526188,2.59433583044162e-32
"261","DHH","GSTM5",0.579798716226052,1.35221112164149e-41
"262","DHH","RERG",0.674197989625962,1.10839489194695e-60
"263","DHH","ADGRB3",0.65996581942919,2.33294257595828e-57
"264","DHH","EPHA7",0.598603346447142,6.7498908992843e-45
"265","DHH","SCN7A",0.614890309408153,6.13590066874827e-48
"266","DHH","TMOD1",0.537197334897178,7.38785053344903e-35
"267","DHH","DNAJB5",0.62673535128506,2.89660134775071e-50
"268","DHH","FXYD6",0.676862930170407,2.52114972969653e-61
"269","DHH","TPM1",0.518140537212284,3.83528168512147e-32
"270","DHH","ADAMTS18",0.59325803740042,6.1653158331878e-44
"271","DHH","DPT",0.513229186022982,1.80371645641302e-31
"272","DHH","KCNMB1",0.606697384148233,2.18672350730267e-46
"273","DHH","VIP",0.587656846442201,5.99138484453903e-43
"274","DHH","PMP2",0.540937849699931,2.0653461596694e-35
"275","DHH","NCAM1",0.564911618142768,3.95378028553077e-39
